id,name,type,type_name,type_description,address,zip_code,city,country,latitude,longitude
0123890,Riazzino,m,M-Migros,Kleine Filiale mit Grundsortiment,Via Cantonale 40,6595,Riazzino,CH,46.1752568,8.8895944
0124210,Bellinzona,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Piazza Rinaldo Simen 8,6500,Bellinzona,CH,46.1937973,9.0243305
0124240,Locarno,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Via Stefano Franscini 31,6600,Locarno,CH,46.1656809,8.7957267
0124270,Centro Serfontana,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Viale Serfontana 20,6834,Morbio Inferiore,CH,45.8452376,9.0161047
0124290,Cassarate,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Viale Castagnola 21,6900,Lugano,CH,46.0061779,8.9657425
0124300,Centro Agno,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Via Lugano 21,6982,Agno,CH,45.9982691,8.9054575
0125010,Lugano,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Via Pretorio 15,6900,Lugano,CH,46.0070314,8.9517478
0125020,Centro S.Antonino,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Via Serrai 5,6592,Sant'Antonino,CH,46.153893,8.961926
0127610,VOI Viganello,voi,VOI,Kleiner Nahversorger für Quartiere oder ländliche Orte,alla Chiesa 2,6962,Viganello,CH,46.011734,8.965999
0127620,VOI Sementina,voi,VOI,Kleiner Nahversorger für Quartiere oder ländliche Orte,Via al Ticino 28,6514,Sementina,CH,46.18221,8.992037
0127630,VOI Lugano-Roncaccio,voi,VOI,Kleiner Nahversorger für Quartiere oder ländliche Orte,Sorengo 25,6903,Lugano,CH,46.003031,8.941699
0133690,Sion - Le Ritz,m,M-Migros,Kleine Filiale mit Grundsortiment,Avenue Ritz 31,1950,Sion,CH,46.2358562,7.3595336
0133697,Sion - Tourbillon Center,m,M-Migros,Kleine Filiale mit Grundsortiment,Avenue Grand-Champsec 30,1950,Sion,CH,46.2314201,7.3843456
0133710,Fully,m,M-Migros,Kleine Filiale mit Grundsortiment,Rue de Provence 4,1926,Fully,CH,46.136677,7.1193852
0133720,Savièse,m,M-Migros,Kleine Filiale mit Grundsortiment,Centre Commercial du Stade,1965,Savièse,CH,46.2502976,7.3519659
0133730,St-Maurice,m,M-Migros,Kleine Filiale mit Grundsortiment,Av. du Simplon 15,1890,St-Maurice,CH,46.2147953,7.0052498
0133750,Saas Fee,m,M-Migros,Kleine Filiale mit Grundsortiment,Hôtel du Glacier,3906,Saas Fee,CH,46.1085428,7.9281535
0133760,Le Bouveret,m,M-Migros,Kleine Filiale mit Grundsortiment,En Bellossy,1897,Bouveret,CH,46.3773421,6.8606288
0133770,Naters,m,M-Migros,Kleine Filiale mit Grundsortiment,Kelchbachstrasse 16,3904,Naters,CH,46.3252623,7.9901216
0133920,Crans-Montana,m,M-Migros,Kleine Filiale mit Grundsortiment,Route du Rawyl 32,3963,Crans-Montana,CH,46.3094446,7.4732188
0134220,Zermatt,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Hofmattstrasse 12,3920,Zermatt,CH,46.0217113,7.7481512
0134230,Leukerbad,m,M-Migros,Kleine Filiale mit Grundsortiment,Thermenstrasse 32,3954,Leukerbad,CH,46.379201,7.625959
0134240,Verbier,m,M-Migros,Kleine Filiale mit Grundsortiment,Les Arcades,1936,Verbier,CH,46.0966164,7.2232795
0134250,Haute-Nendaz,m,M-Migros,Kleine Filiale mit Grundsortiment,"Lake Placid, rte des Ecluses 23",1997,Haute-Nendaz,CH,46.182229,7.2918787
0134260,Steg,m,M-Migros,Kleine Filiale mit Grundsortiment,Bahnhofstrasse,3940,Steg,CH,46.3147018,7.7453717
