id,name,type,latitude,longitude,city,radius_minutes
73280,Oberkirch,m,47.1651653,8.1137803,Oberkirch LU,20
73290,Root,m,47.116936,8.391274,Root,20
73300,Wylpark Hergiswil,m,46.98708,8.312451,Hergiswil NW,20
73330,Bertiswil Rothenburg LU,m,47.101345,8.263377,Rothenburg,20
73340,Adligenswil LU,m,47.071438,8.362019,Adligenswil,20
73350,Grienbachstrasse Zug,m,47.183948,8.522788,Zug,20
73670,Luzern - Brüelstrasse,m,47.0544761,8.3402123,Luzern,20
73680,Emmen - Kapf,m,47.0898808,8.2738074,Emmenbrücke,20
73690,Luzern - Waldstätter,m,47.0462259,8.3071716,Luzern,20
73710,Ruopigen Zentrum Luzern,m,47.0622438,8.2740577,Luzern,20
73720,Küssnacht - Rigimärt,mm,47.0836743,8.4412034,Küssnacht am Rigi,20
73740,Cham - Neudorf,m,47.1820876,8.4615121,Cham,20
73750,Brunnen - Bahnhofsmärcht,m,46.99991,8.608986,Brunnen,20
73760,Unterägeri,m,47.1380428,8.579203,Unterägeri,20
73770,Luzern - Bruchstrasse,m,47.050865,8.299126,Luzern,20
73780,Willisau - Chrüzhof,m,47.122768,7.9941804,Willisau,20
73790,Goldau,m,47.05089,8.551124,Goldau,20
73800,Horw,m,47.0189983,8.309017,Horw,20
73810,Zell,m,47.1371898,7.9282486,Zell LU,20
73820,Rotkreuz,m,47.1411731,8.4287677,Rotkreuz,20
73830,Schüpfheim,m,46.9482657,8.0165859,Schüpfheim,20
73840,Luzern - Allmend,m,47.031586,8.304944,Luzern,20
73850,Baar,m,47.195539,8.5250447,Baar,20
73860,Ruswil,m,47.0884106,8.1127902,Ruswil,20
73870,Egolzwil - Schötz,m,47.183407,7.9813676,Egolzwil,20
73880,Hitzkirch,m,47.2222081,8.2518859,Hitzkirch,20
73890,Engelberg,m,46.8207122,8.4057173,Engelberg,20
73910,Sempach Station,m,47.1169163,8.1993284,Sempach Station,20
73920,Rain,m,47.1269865,8.2496975,Rain,20
73930,Luzern - Grossmatte,m,47.0494761,8.2633687,Luzern,20
73940,Hünenberg Dorf,m,47.17504,8.427463,Hünenberg,20
73950,Malters,m,47.0378576,8.1793523,Malters,20
73960,Dagmersellen,m,47.212984,7.988328,Dagmersellen,20
73970,Steinhausen Dorf,m,47.1970572,8.4846747,Steinhausen,20
73980,Kriens - Mattenhof,m,47.0267443,8.30067,Kriens,20
73990,Altdorf,m,46.8796664,8.6416105,Altdorf,20
74260,Luzern - Schönbühl,mm,47.0372897,8.3283997,Luzern,20
74290,Sarnen - Sarnen-Center,mm,46.8967489,8.2494742,Sarnen,20
74300,Ebikon - Ladengasse,mm,47.0811001,8.3408568,Ebikon,20
74310,Bürglen/Altdorf - Urnertor,mm,46.8727476,8.6515004,Altdorf UR,20
74320,Wolhusen - Dorfmärt,mm,47.0560514,8.0705934,Wolhusen,20
74330,Zug - Metalli,mm,47.1732476,8.5170158,Zug,20
74340,Hochdorf - Seetal-Center,mm,47.1660917,8.2913828,Hochdorf,20
74350,Emmenbrücke - Sonnenplatz,mm,47.0779516,8.2752688,Emmenbrücke,20
74360,Kriens - Hofmatt,mm,47.0337928,8.2829724,Kriens,20
74370,Ibach-Schwyz - Mythen-Center,mmm,47.0155468,8.64652,Ibach,20
74380,Luzern - Schweizerhof,mm,47.054745,8.3096768,Luzern,20
74390,Emmen - Wohncenter,mm,47.0737906,8.2930347,Emmenbrücke,20
74400,Ebikon - Mall of Switzerland,mmm,47.0939482,8.3588978,Ebikon,20
74700,Surseepark,mmm,47.1728531,8.1021962,Sursee,20
74710,Steinhausen - Zugerland,mmm,47.1920625,8.4777745,Steinhausen,20
74720,Stans - Länderpark,mmm,46.9646845,8.3556565,Stans,20
77350,VOI Beromünster,voi,47.209729,8.1917754,Beromünster,20
77351,VOI Sempach Stadt,voi,47.1362307,8.1920443,Sempach Stadt,20
77354,VOI Büron,voi,47.2136699,8.0944046,Büron,20
77355,VOI Luzern Wesemlin,voi,47.060284,8.314992,Luzern,20
77356,VOI Stans,voi,46.9565347,8.366329,Stans,20
77357,VOI Alpnach,voi,46.9398339,8.2709654,Alpnach Dorf,20
83610,Tramelan,m,47.2234176,7.0997558,Tramelan,20
83630,Courtepin,m,46.8656187,7.1201102,Courtepin,20
83640,Schoenberg,m,46.8097786,7.1723464,Fribourg,20
83650,Marly,mm,46.7761541,7.1612389,Marly,20
83670,Beauregard,m,46.8006068,7.1444374,Fribourg,20
83690,St-Imier,m,47.1515265,6.9952813,St-Imier,20
83700,Fleurier,mm,46.9020353,6.5805278,Fleurier,20
83730,Cernier,mm,47.0580103,6.9017185,Cernier,20
83740,Tavannes,m,47.21932,7.1978861,Tavannes,20
83750,La Neuveville,m,47.0618892,7.0886002,La Neuveville,20
83760,Grande Béroche,m,46.8996814,6.7838713,Chez-Le-Bart,20
83770,Colombier,m,46.9672459,6.8517986,Colombier,20
83780,Cormanon,m,46.7937778,7.1335773,Villars-sur-Glâne,20
83790,Saignelégier,m,47.254553,6.9998167,Saignelégier,20
83800,Kerzers,m,46.9737039,7.1939798,Kerzers,20
83810,Avenches,m,46.8854592,7.0451655,Avenches,20
83820,Boudry,m,46.9505063,6.8405634,Boudry,20
